Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
543415,ANANDRATHI,Anand Rathi Wealth Ltd,20 Oct 2023,Interim Dividend - Rs. - 5.0000,20 Oct 2023,-,-,16 Oct 2023,20 Oct 2023,-
543235,ANGELONE,Angel One Ltd,20 Oct 2023,Interim Dividend - Rs. - 12.7000,20 Oct 2023,-,-,16 Oct 2023,20 Oct 2023,-
542216,DALBHARAT,Dalmia Bharat Ltd,20 Oct 2023,Interim Dividend - Rs. - 4.0000,21 Oct 2023,-,-,17 Oct 2023,20 Oct 2023,-
532281,HCLTECH,HCL Technologies Ltd,20 Oct 2023,Interim Dividend - Rs. - 12.0000,20 Oct 2023,-,-,16 Oct 2023,20 Oct 2023,-
542323,KPIGREEN,KPI Green Energy Ltd,20 Oct 2023,Interim Dividend - Rs. - 0.2500,20 Oct 2023,-,-,16 Oct 2023,20 Oct 2023,-
542665,NEOGEN,Neogen Chemicals Ltd,20 Oct 2023,E.G.M. ,-,21 Oct 2023,28 Oct 2023,17 Oct 2023,20 Oct 2023,-
523796,VHLTD,Viceroy Hotels Ltd,20 Oct 2023,Resolution Plan -Suspension ,20 Oct 2023,-,-,19 Oct 2023,20 Oct 2023,-
543670,VINNY,Vinny Overseas Ltd,23 Oct 2023,E.G.M. ,-,24 Oct 2023,30 Oct 2023,18 Oct 2023,23 Oct 2023,-
500209,INFY,Infosys Ltd,25 Oct 2023,Interim Dividend - Rs. - 18.0000,25 Oct 2023,-,-,18 Oct 2023,25 Oct 2023,-
520066,JAYBARMARU,Jay Bharat Maruti Ltd,26 Oct 2023,Stock  Split From Rs.5/- to Rs.2/-,26 Oct 2023,-,-,19 Oct 2023,26 Oct 2023,-
